movie.id,actor_1,PCA1,actor_2,PCA2
250,3397,0.875362186,3398,-1.670204989
251,723,-4.678618538,3416,-5.940441712
252,3460,-4.404281621,3461,0.421231503
253,10222,-4.604842524,5050,-2.144525964
254,3489,-6.415339532,70851,-6.167795476
255,1653,-4.78463629,3507,-0.05969204
256,1653,-4.78463629,3536,-1.242290322
257,3542,-0.086484901,2282,-9.314468516
258,1653,-4.78463629,3507,-0.05969204
259,1653,-4.78463629,3536,-1.242290322
260,3609,-2.345663712,3610,-2.097542812
261,3635,-4.852386581,3636,-10.94901541
262,380,-17.00955885,3663,-8.627535191
265,3734,-3.300908231,3753,-2.472448602
266,3783,-3.121114465,3784,-6.094019462
267,3808,0.875362186,3809,-0.714383626
268,514,-8.574526315,2232,-6.409890653
269,3829,-8.415499686,3830,-2.371879728
271,3851,0.875362186,3852,0.748577296
272,3894,-6.843254199,3895,-18.42495978
273,3872,-6.020243449,3874,-0.21326979
274,1038,-6.542124422,4173,-10.43258332
275,3905,-4.710860277,3910,-4.008608693
276,3872,-6.020243449,3932,-0.66137475
277,3967,-5.961208849,100,-4.415756223
278,504,-5.439327876,192,-11.97476913
279,1164,-2.852803271,3999,-1.216074306
280,1100,-6.958564487,2713,-3.20636508
281,5469,-5.51310389,9780,-3.280141094
284,3151,-10.17901354,4090,-8.125844511
285,85,-9.344528188,114,-3.581270871
286,42678,-0.086484901,42679,0.748577296
287,1269,-8.394732549,4038,-10.87139574
288,4068,-11.00202429,4070,-2.224327701
289,4110,-8.816621492,4111,-7.618704951
290,1241,-6.515908406,1230,-7.857533317
291,4322,0.875362186,4323,-0.21326979
292,4169,-1.543420099,4237,0.267653753
293,287,-8.627535191,4138,-4.763869153
294,4160,-0.914944529,4161,0.06709285
296,1100,-6.958564487,6408,-4.531066511
297,287,-8.627535191,4173,-10.43258332
298,1461,-6.663460433,287,-8.627535191
299,4347,-6.93779735,4299,-9.081665874
300,258,-4.678618538,4273,-4.63105854
301,4165,-22.01210683,4299,-9.081665874
302,44079,-5.919674575,4390,-2.371879728
303,2638,-13.54701462,4111,-7.618704951
306,776,-8.648302328,777,-3.380709968
307,4420,-0.614391597,4421,-2.192085962
